Phenotype [application],Phenotype [development],Category [application],Category [development],Author,Year,Title,n CpGs [application],n CpGs [development],Based on,Sample size [application],Sample size [development],n Cases [application],n Cases [development],n Controls [application],n Controls [development],Sample type [application],Sample type [development],Developmental period [application],Developmental period [development],Tissue [application],Tissue [development],Array [application],Array [development],Ancestry [application],Ancestry [development],Dimension reduction (1) [application],Dimension reduction (1) [development],Dimension reduction (2) [application],Dimension reduction (2) [development],Dimension reduction (3) [application],Dimension reduction (3) [development],Dimension reduction (4) [application],Dimension reduction (4) [development],Dimension reduction (5) [application],Dimension reduction (5) [development],Weights estimation [application],Weights estimation [development],Internal validation [application],Internal validation [development],External validation [application],External validation [development],Performance [application],Performance [development],Comparison [application],Comparison [development],Missing_value_note [application],Missing_value_note [development],Covariates [application],Covariates [development],Link [application],Link [development],Sample_overlap_target_base [application],Sample_overlap_target_base [development]
PIGR,PIGR,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,27.0,27.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-80",https://elifesciences.org/articles/71802,No,
RARRES2,RARRES2,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,117.0,117.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-81",https://elifesciences.org/articles/71802,No,
Resistin,Resistin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,21.0,21.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-82",https://elifesciences.org/articles/71802,No,
S100A12,S100A12,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,82.0,82.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-83",https://elifesciences.org/articles/71802,No,
S100A9,S100A9,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,27.0,27.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-84",https://elifesciences.org/articles/71802,No,
SCGF alpha,SCGF alpha,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,107.0,,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-85",https://elifesciences.org/articles/71802,No,
SCGF beta,SCGF beta,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,82.0,,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-86",https://elifesciences.org/articles/71802,No,
Semaphorin-3E,Semaphorin-3E,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,51.0,51.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-87",https://elifesciences.org/articles/71802,No,
SERPINA3,SERPINA3,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,258.0,258.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-88",https://elifesciences.org/articles/71802,No,
SHBG,SHBG,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,68.0,68.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-89",https://elifesciences.org/articles/71802,No,
Sialoadhesin,Sialoadhesin,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,28.0,28.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-90",https://elifesciences.org/articles/71802,No,
SKR3,SKR3,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,68.0,68.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-91",https://elifesciences.org/articles/71802,No,
SLITRK5,SLITRK5,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,161.0,161.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-92",https://elifesciences.org/articles/71802,No,
SMPD1,SMPD1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,110.0,110.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-93",https://elifesciences.org/articles/71802,No,
Stanniocalcin-1,Stanniocalcin-1,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,61.0,61.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-94",https://elifesciences.org/articles/71802,No,
Testican-2,Testican-2,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,62.0,62.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-95",https://elifesciences.org/articles/71802,No,
TGF alpha,TGF alpha,Biological markers,Biological markers,K. McKinnon; E. L. S. Conole; K. Vaher; R. F. Hillary; D. A. Gadd; J. Binkowska; G. Sullivan; A. J. Stevenson; A. Corrigan; L. Murphy; H. C. Whalley; H. Richardson; R. E. Marioni; S. R. Cox; J. P. Boardman,2024.0,Epigenetic scores derived in saliva are associated with gestational age at birth,100.0,100.0,Pre-established MPS,332.0,1819.0,,,,,Cohort study,Population-based cohort,Birth,Adulthood,Saliva,Whole blood,EPICv1,450K,White,European,,,,,,,,,,,,Penalized regression | Elastic net,No,Train/test split: 80/20% | Cross-validation ?,No,Yes (n = 9537),Not assessed,"Reported | r>.1, p<.05",No,No,Not reported,No,"age at sample, birthweight z-score, sex, and methylation processing batch","age, sex, cohort-specific variables and, where present, cis and trans pQTL effects identified from previous analyses","http://dx.doi.org/10.1186/s13148-024-01701-2_x000D_
http://www.ncbi.nlm.nih.gov/entrez/query.fcgi?holding=inleurlib_fft&cmd=Retrieve&db=PubMed&dopt=Citation&list_uids=38951914_x000D_
https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=mesx&DO=10.1186%2fs13148-024-01701-96",https://elifesciences.org/articles/71802,No,
