Author,Year,Title,DOI,Phenotype,Category,n MPSs,n CpGs,Based on,Sample size,n Cases,n Controls,Sample type,Developmental period,Tissue,Array,Ancestry,Publication type,Journal,Dimension reduction (1),Dimension reduction (2),Dimension reduction (3),Dimension reduction (4),Dimension reduction (5),Weights estimation,Internal validation,External validation,Performance,Comparison,Missing_value_note,Covariates
E. Colin; Y. Duffourd; E. Tisserant; R. Relator; A. L. Bruel; F. Tran Mau-Them; A. S. Denomme-Pichon; H. Safraou; J. Delanne; N. Jean-Marcais; B. Keren; B. Isidor; M. Vincent; C. Mignot; D. Heron; A. Afenjar; S. Heide; A. Faudet; P. Charles; S. Odent; Y. Herenger; A. Sorlin; S. Moutton; J. Kerkhof; H. McConkey; M. Chevarin; C. Poe; V. Couturier; V. Bourgeois; P. Callier; A. Boland; R. Olaso; C. Philippe; B. Sadikovic; C. Thauvin-Robinet; L. Faivre; J. F. Deleuze; A. Vitobello,2022.0,OMIXCARE: OMICS technologies solved about 33% of the patients with heterogeneous rare neuro-developmental disorders and negative exome sequencing results and identified 13% additional candidate variants,10.3389/fcell.2022.1021785,"['BAFopathy syndrome: no subtype specified', 'Kabuki syndrome', 'Rubinstein-Taybi syndrome (RSTS)', 'Velocardiofacial syndrome (VCFS)', 'Wolf-Hirschhorn syndrome (WHS)']",Genetic syndromes,5.0,,Pre-established MPS,30.0,,,Cohort study,Childhood and adolescence,Whole blood,"['Multiple (450K, EPICv1)', 'Multiple (450K, EPICv2)']",Not reported,Journal Article,Front. cell dev. biol.,,,,,,,No,No,Not reported,No,No,No
C. M. Salgado; R. Alaggio; A. Ciolfi; A. Zin; F. D. Camassei; L. Pedace; G. M. Milano; A. Serra; A. Di Giannatale; A. Mastronuzzi; A. Gianatti; G. Bisogno; A. Ferrari; M. Tartaglia; M. Reyes-Múgica; F. Locatelli; E. Miele,2023.0,Pediatric BCOR-Altered Tumors From Soft Tissue/Kidney Display Specific DNA Methylation Profiles,10.1016/j.modpat.2022.100039,Brain tumour,Cancer,1.0,,Pre-established MPS,34.0,,,Cohort study,Childhood,Tumour cells,EPICv1,Not reported,Journal Article,Mod Pathol,,,,,,,,,Not reported,No,Not reported,Not reported
L. C. Schenkel; E. Aref-Eshghi; C. Skinner; P. Ainsworth; H. Lin; G. Paré; D. I. Rodenhiser; C. Schwartz; B. Sadikovic,2018.0,Peripheral blood epi-signature of Claes-Jensen syndrome enables sensitive and specific identification of patients and healthy carriers with pathogenic mutations in KDM5C,10.1186/s13148-018-0453-8,Claes-Jensen syndrome,Genetic syndromes,1.0,198.0,Raw (individual-level) data,543.0,10.0,533.0,Case control,Childhood and adolescence,Peripheral blood,450K,Not reported,Journal Article,Clin Epigenetics,Association DNAm phenotype | Actual change in methylation | > 10%,Association DNAm phenotype | P-value | p < .01,Association DNAm phenotype | AUC | = 1.00,Pruning | Pairwise correlation | < 0.80,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,"Yes (n=469, n=125, n=275,n=312)","Reported | 100% accuracy, 100% specifcity ",No,Not reported,Cell type
F. A. Blostein; J. Fisher; J. Dou; L. Schneper; E. B. Ware; D. A. Notterman; C. Mitchell; K. M. Bakulski,2022.0,Polymethylation scores for prenatal maternal smoke exposure persist until age 15 and are detected in saliva in the Fragile Families and Child Wellbeing cohort,10.1080/15592294.2022.2112815,"['Maternal smoking', 'Maternal smoking (newborns)']",Lifestyle and environment,8.0,"[np.float64(6073.0), np.float64(204.0), np.float64(19.0), np.float64(568.0)]","['Published summary statistics (semi-supervised)', 'Pre-established MPS']","[np.float64(747.0), np.float64(753.0)]","[np.float64(143.0), np.float64(155.0)]","[np.float64(604.0), np.float64(598.0)]",Population-based,"['Adolescence', 'Mid childhood']",Saliva,450K,Mixed,Journal Article,Epigenetics,"['Association DNAm phenotype | P-value | ?', nan]",,,,,"['Discovery EWAS | Linear regression', nan]",No,No,"['Reported | AUC = 0.76', 'Reported | AUC = 0.77', 'Reported | AUC = 0.68', 'Reported | AUC = 0.67', 'Reported | AUC = 0.64', 'Reported | AUC = 0.61', 'Reported | AUC = 0.69']",Yes,Overlapping,"city indicator, child sex, maternal income-to-poverty ratio at baseline, proportion of salivary immune cells, sample plate from DNA methylation analysis, child age, and the first two principal components of genetic ancestry"
V. V. Odintsova; V. Rebattu; F. A. Hagenbeek; R. Pool; J. J. Beck; E. A. Ehli; C. E. M. van Beijsterveldt; L. Ligthart; G. Willemsen; E. J. C. de Geus; J. J. Hottenga; D. I. Boomsma; J. van Dongen,2021.0,Predicting Complex Traits and Exposures From Polygenic Scores and Blood and Buccal DNA Methylation Profiles,10.3389/fpsyt.2021.688464,"['Birth weight', 'Maternal smoking', 'BMI']","['Physical health indicators', 'Lifestyle and environment']",18.0,"[np.float64(72205.0), np.float64(184.0), np.float64(2249.0), np.float64(13.0), np.float64(958.0), np.float64(9.0), np.float64(76146.0), np.float64(187.0), np.float64(1571.0), np.float64(16.0), np.float64(606.0), np.float64(55279.0), np.float64(183.0), np.float64(1079.0), np.float64(422.0), np.float64(6.0)]",Published summary statistics (semi-supervised),"[np.float64(1070.0), np.float64(547.0), np.float64(1072.0)]",,,Twin study,Mid childhood,Buccal cells,EPICv1,European,Journal Article,Front Psychiatr,Association DNAm phenotype | Multiple p-values | reporting multiple levels,"[nan, 'Pruning | Pairwise correlation | ?']",,,,Discovery EWAS | Linear regression,No,No,"['Reported | Linear regression, explained variance | r2 = 0.930%, (b se p =−0.013 0.031 0.679)', 'Reported | Linear regression, explained variance | r2 = 0.022%, (b se p =  0.015 0.029 0.613)', 'Reported | Linear regression, explained variance | r2 = 0.064%, (b se p =  0.031 0.032 0.344)', 'Reported | Linear regression, explained variance | r2 = 0.025%, (b se p = 0.016 0.032 0.613)', 'Reported | Linear regression, explained variance | r2 = 0.141%, (b se p = 0.038 0.032 0.237)', 'Reported | Linear regression, explained variance | r2 = 0.002%, (b se p = −0.005 0.033 0.882)', 'Reported | Linear regression, explained variance | r2 = 0.930% (b se p = −0.256 0.158 0.105)', 'Reported | Linear regression, explained variance | r2 = 0.386%, (b se p = −0.125 0.153 0.416)', 'Reported | Linear regression, explained variance | r2 = 1.683%, (b se p = −0.285 0.187 0.127)', 'Reported | Linear regression, explained variance | r2 = 0.149%, (b se p = −0.096 0.164 0.559)', 'Reported | Linear regression, explained variance | r2 = 2.223%, (b se p =  −0.304 0.183 0.096)', 'Reported | Linear regression, explained variance | r2 = 0.2742%, (b se p = −0.120 0.161 0.456)', 'Reported | Linear regression, explained variance | r2 = 0.001%, (b se p = 0.003 0.017 0.878)', 'Reported | Linear regression, explained variance | r2 = 0.042%, (b se p = 0.021 0.019 0.276)', 'Reported | Linear regression, explained variance | r2 = 0.003%, (b se p = −0.006 0.017 0.733)', 'Reported | Linear regression, explained variance | r2 = 0.003%, (b se p =  0.005 0.019 0.772)', 'Reported | Linear regression, explained variance | r2 = 0.006%, (b se p = −0.008 0.018 0.676)']",Yes,Imputation | ImputePCA,"Sex, age, epithelial cell, natural killer cell proportions, array row, bisulfite plate"
K. M. Bakulski; J. D. Fisher; J. F. Dou; A. Gard; L. Schneper; D. A. Notterman; E. B. Ware; C. Mitchell,2021.0,Prenatal Particulate Matter Exposure Is Associated with Saliva DNA Methylation at Age 15: Applying Cumulative DNA Methylation Scores as an Exposure Biomarker,10.3390/toxics9100262,"['PM10', 'PM2.5']",Lifestyle and environment,4.0,"[np.float64(6.0), np.float64(14.0)]",Raw (individual-level) data,"[np.float64(793.0), np.float64(749.0)]",,,Population-based,"['Adolescence', 'Mid childhood']",Saliva,450K,Mixed,Journal Article,Toxics,Association DNAm phenotype | P-value | ?,,,,,Discovery EWAS | Linear regression,No,No,"['Reported | p-value | p = 0.48', 'Reported | p-value | p = 0.13', 'Reported | p-value | p = 0.78', 'Reported | p-value | p =  0.22']",No,Not reported,"age at DNA methylation sample, child sex, maternal race/ethnicity, maternal income-to-needs ratio, proportion of epithelial cells, and proportion of immune cells"
A. Suleri; K. Salontaji; M. Luo; A. Neumann; R. H. Mulder; H. Tiemeier; J. F. Felix; R. E. Marioni; V. Bergink; C. A. M. Cecil,2024.0,"Prenatal exposure to common infections and newborn DNA methylation: A prospective, population-based study","['10.1016/j.bbi.2024.07.046.', 'Association DNAm phenotype | Multiple p-values | p < .05 or p < 5e-5']","['Prenatal infections across all trimesters', 'Prenatal infections trimester 1', 'Prenatal infections trimester 2', 'Prenatal infections trimester 3']",Biological markers,4.0,"[np.float64(30.0), np.float64(20.0), np.float64(24.0), np.float64(26.0)]",Raw (individual-level) data,2367.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",White,Journal Article,Brain Behav Immun,Association DNAm phenotype | Multiple p-values | p < .05 or p < 5e-5,,,,,Penalized regression | Elastic net,Train/test split: 80/20% | 10-fold cross-validation,Yes (n=864),"['Reported | Incremental R2 | 0.049 test, 0.001 external', 'Reported | Incremental R2 | 0.023 test, <0.001 external', 'Reported | Incremental R2 | 0.020 test, 0.002 external', 'Reported | Incremental R2 | 0.018 test, <0.001 external']",No,Reported | Single imputation,"maternal age at delivery, maternal education, maternal smoking during pregnancy, parity, gestational age at birth, child sex, batch effects and methylation-derived estimated white cell type proportions"
N. Creasey; I. Schuurmans; S. Tsotsi; S. Defina; V. Baltramonaityte; J. F. Felix; A. Neumann; C. M. Page; M. Tollenaar; M. Bekkhus; E. Walton; C. Cecil,2025.0,"Prenatal stress, epigenetically-assessed glucocorticoid exposure at birth, and child psychiatric symptoms: A prospective, multi-cohort study",10.1016/j.psyneuen.2025.107388,Glucocorticoid ,Lifestyle and environment,1.0,24.0,Pre-established MPS,6086.0,,,Population-based,Birth,Cord blood,"Multiple (450K, EPICv1)",European,Journal Article,Psychoneuroendocrinology,,,,,,,No,No,Not assessed,No,Not reported,"Child sex, maternal smoking in pregnancy, estimated cell types, genetic PCs (4), batch effects (plate/surrogates), birthweight/gestational age (sensitivity)"
J. Y. Chen; E. Gatev; T. Everson; K. N. Conneely; N. Koen; M. P. Epstein; M. S. Kobor; H. J. Zar; D. J. Stein; A. Huels,2023.0,Pruning and thresholding approach for methylation risk scores in multi-ancestry populations,10.1080/15592294.2023.2187172,"['Maternal smoking', 'Maternal smoking (newborns)', 'Maternal smoking (older children)']",Lifestyle and environment,6.0,"[np.float64(28.0), np.float64(568.0), np.float64(19.0), np.float64(21.0), np.float64(198.0), np.float64(344.0)]","['Pre-established MPS', 'Published summary statistics (semi-supervised)']",260.0,,,Population-based,Birth,Cord blood,EPICv1,Mixed,Journal Article,Epigenetics,"[nan, 'Association DNAm phenotype | Multiple p-values | thresholding']","[nan, 'Pruning | CoMeBack', 'Pruning | Pairwise correlation | ?']",,,,"[nan, 'Discovery EWAS | Linear regression']",No,No,"['Reported | beta coefficient | beta = 0.77, se = 0.09', 'Reported | beta coefficient | beta = 0.65, se = 0.10', 'Reported | beta coefficient | beta = 0.70, se = 0.11', 'Reported | beta coefficient | beta = 0.82, se = 0.10', 'Reported | beta coefficient | beta = 0.69, se = 0.10', 'Reported | beta coefficient | beta = 0.64, se = 0.09']",Yes,Overlapping,"ancestry (in pooled samples), cell type proportions and top 5 PCs calculated from genotypes."
M. Simon; L. P. Kuschel; K. von Hoff; D. Yuan; P. Hernáiz Driever; E. G. Hain; A. Koch; D. Capper; M. Schulz; U. W. Thomale; P. Euskirchen,2024.0,Rapid DNA methylation-based classification of pediatric brain tumors from ultrasonic aspirate specimens,10.1007/s11060-024-04702-6,Brain tumour,Cancer,2.0,,"['Pre-established MPS', 'Raw (individual-level) data']","[np.float64(19.0), np.float64(2801.0)]",,,Cohort study,Childhood and adolescence,Tumour cells,"['EPICv1', 'Nanopore secquencing']",Not reported,Journal Article,J Neuro-Oncol,"[nan, 'Biological relevance | Mean methylation | Zero variance']",,,,,"[nan, 'Machine learning | Random forest']","[nan, 'Yes (Heidelberg reference set, 2,801 cases; 91 classes)']","[nan, 'Yes (n=19)']","['Reported | Overlap | 17/19', 'Reported | Sensitivity and specificity | 79% sensitivity and 100% specificity']",No,Not reported,Not reported
Z. F. Shi; K. K. W. Li; A. P. Y. Liu; N. Y. F. Chung; C. Chow; H. Chen; N. C. A. Kan; X. L. Zhu; D. T. M. Chan; Y. Mao; H. K. Ng,2024.0,Rare Pediatric Cerebellar High-Grade Gliomas Mimic Medulloblastomas Histologically and Transcriptomically and Show p53 Mutations,10.3390/cancers16010232,Brain tumour,Cancer,1.0,,Pre-established MPS,5.0,,,Cohort study,Mid childhood,Tumour cells,EPICv1,Not reported,Journal Article,Cancers,,,,,,,,,Reported | Overlap | 3/5,No,Not reported,Not reported
C. W. LaFlamme; K. Karimi; C. Rastin; E. P. Almanza Fuerte; T. Allan; S. J. Russ-Hall; A. L. Schneider; D. Stobo; G. Lesca; J. D. Symonds; A. Brunklaus; L. G. Sadleir; I. E. Scheffer; B. Sadikovic; H. C. Mefford,2025.0,SCN1A pathogenic variants do not have a distinctive blood-derived DNA methylation signature,,"['Dravet syndrome', 'SCN1A nonsense syndrome', 'SCN1A missense syndrome', 'SCN1A EIDEE syndrome']",Genetic syndromes,4.0,"[np.float64(234.0), np.float64(257.0), np.float64(235.0), np.float64(226.0)]",Raw (individual-level) data,"[np.float64(128.0), np.float64(84.0), np.float64(92.0), np.float64(63.0)]","[np.float64(64.0), np.float64(28.0), np.float64(23.0), np.float64(7.0)]","[np.float64(64.0), np.float64(56.0), np.float64(69.0)]",Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Epilepsia,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 250,Pruning | Pairwise correlation | < 0.85,,Machine learning | Support vector machine,4-fold cross-validation,No,Reported | Poor sensitivity/specificity,No,Not reported,Cell type
R. Al-Jawahiri; A. Foroutan; J. Kerkhof; H. McConkey; M. Levy; S. Haghshenas; K. Rooney; J. Turner; D. Shears; M. Holder; H. Lefroy; B. Castle; L. M. Reis; E. V. Semina; D. Nickerson; M. Bamshad; S. Leal; K. Lachlan; K. Chandler; T. Wright; J. Clayton-Smith; F. P. Hug; N. Pitteloud; L. Bartoloni; S. Hoffjan; S. M. Park; A. Thankamony; M. Lees; E. Wakeling; S. Naik; B. Hanker; K. M. Girisha; E. Agolini; Z. Giuseppe; Z. Alban; M. Tessarech; B. Keren; A. Afenjar; C. Zweier; A. Reis; T. Smol; Y. Tsurusaki; O. Nobuhiko; F. Sekiguchi; N. Tsuchida; N. Matsumoto; I. Kou; Y. Yonezawa; S. Ikegawa; B. Callewaert; M. Freeth; J. C. Ambrose; P. Arumugam; R. Bevers; M. Bleda; F. Boardman-Pretty; C. R. Boustred; H. Brittain; M. J. Caulfield; G. C. Chan; G. Elgar; T. Fowler; A. Giess; A. Hamblin; S. Henderson; T. J. P. Hubbard; R. Jackson; L. J. Jones; D. Kasperaviciute; M. Kayikci; A. Kousathanas; L. Lahnstein; S. E. A. Leigh; I. U. S. Leong; J. F. Lopez; C. FionaMaleady; M. McEntagart; F. Minneci; L. Moutsianas; M. Mueller; N. Murugaesu; A. C. Need; P. O'Donovan; C. A. Odhams; C. Patch; M. B. Pereira; D. Perez-Gil; J. Pullinger; TahrimaRahim; A. Rendon; TimRogers; K. Savage; K. Sawant; R. H. Scott; A. Siddiq; A. Sieghart; S. C. Smith; A. Sosinsky; A. Stuckey; M. Tanguy; A. L. Taylor Tavares; E. R. A. Thomas; S. R. Thompson; A. Tucci; M. J. Welland; E. Williams; K. Witkowska; S. M. Wood; L. Kleinendorst; A. Donaldson; M. Alders; A. De Paepe; B. Sadikovic; A. McNeill,2022.0,SOX11 variants cause a neurodevelopmental disorder with infrequent ocular malformations and hypogonadotropic hypogonadism and with distinct DNA methylation profile,10.1016/j.gim.2022.02.013,SOX11 syndrome,Genetic syndromes,1.0,224.0,Raw (individual-level) data,126.0,38.0,88.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Gen Med,Association DNAm phenotype | Actual change in methylation | > 5%,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 500,Pruning | Pairwise correlation | < 0.60,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,No,No,Cell type
F. C. Radio; K. Pang; A. Ciolfi; M. A. Levy; A. Hernandez-Garcia; L. Pedace; F. Pantaleoni; Z. Liu; E. de Boer; A. Jackson; A. Bruselles; H. McConkey; E. Stellacci; S. Lo Cicero; M. Motta; R. Carrozzo; M. L. Dentici; K. McWalter; M. Desai; K. G. Monaghan; A. Telegrafi; C. Philippe; A. Vitobello; M. Au; K. Grand; P. A. Sanchez-Lara; J. Baez; K. Lindstrom; P. Kulch; J. Sebastian; S. Madan-Khetarpal; C. Roadhouse; J. J. MacKenzie; B. Monteleone; C. J. Saunders; J. K. Jean Cuevas; L. Cross; D. Zhou; T. Hartley; S. L. Sawyer; F. P. Monteiro; T. V. Secches; F. Kok; L. E. Schultz-Rogers; E. L. Macke; E. Morava; E. W. Klee; J. Kemppainen; M. Iascone; A. Selicorni; R. Tenconi; D. J. Amor; L. Pais; L. Gallacher; P. D. Turnpenny; K. Stals; S. Ellard; S. Cabet; G. Lesca; J. Pascal; K. Steindl; S. Ravid; K. Weiss; A. M. R. Castle; M. T. Carter; L. Kalsner; B. B. A. de Vries; B. W. van Bon; M. R. Wevers; R. Pfundt; A. P. A. Stegmann; B. Kerr; H. M. Kingston; K. E. Chandler; W. Sheehan; A. F. Elias; D. N. Shinde; M. C. Towne; N. H. Robin; D. Goodloe; A. Vanderver; O. Sherbini; K. Bluske; R. T. Hagelstrom; C. Zanus; F. Faletra; L. Musante; E. C. Kurtz-Nelson; R. K. Earl; B. M. Anderlid; G. Morin; M. van Slegtenhorst; K. E. M. Diderich; A. S. Brooks; J. Gribnau; R. G. Boers; T. R. Finestra; L. B. Carter; A. Rauch; P. Gasparini; et al.,2021.0,SPEN haploinsufficiency causes a neurodevelopmental disorder overlapping proximal 1p36 deletion syndrome with an episignature of X chromosomes in females,10.1016/j.ajhg.2021.01.015,SPEN haploinsufficiency syndrome,Genetic syndromes,1.0,122.0,Raw (individual-level) data,40.0,11.0,29.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,European,Journal Article,Am J Hum Genet,Association DNAm phenotype | P-value | ?,Association DNAm phenotype | Actual change in methylation | ?,Association DNAm phenotype | AUC | ?,Pruning | Pairwise correlation | ?,Biological relevance | Functional annotation | Grouped to genes,Machine learning | Support vector machine,Train/test split: 75/25% | Cross-validation ?,Yes (n=500),Not reported,No,No,Not reported
E. Bogaert; A. Garde; T. Gautier; K. Rooney; Y. Duffourd; P. LeBlanc; E. van Reempts; F. Tran Mau-Them; I. M. Wentzensen; K. S. Au; K. Richardson; H. Northrup; V. Gatinois; D. Genevieve; R. J. Louie; M. J. Lyons; L. W. Laulund; C. Brasch-Andersen; T. Maxel Juul; F. El It; N. Marle; P. Callier; R. Relator; S. Haghshenas; H. McConkey; J. Kerkhof; C. Cesario; A. Novelli; N. Brunetti-Pierri; M. Pinelli; P. Pennamen; S. Naudion; M. Legendre; C. Courdier; A. Trimouille; M. D. Fenzy; L. Pais; A. Yeung; K. Nugent; E. R. Roeder; T. Mitani; J. E. Posey; D. Calame; H. Yonath; J. A. Rosenfeld; L. Musante; F. Faletra; F. Montanari; G. Sartor; A. Vancini; M. Seri; C. Besmond; K. Poirier; L. Hubert; D. Hemelsoet; A. Munnich; J. R. Lupski; C. Philippe; C. Thauvin-Robinet; L. Faivre; B. Sadikovic; J. Govin; B. Dermaut; A. Vitobello,2023.0,SRSF1 haploinsufficiency is responsible for a syndromic developmental disorder associated with intellectual disability,10.1016/j.ajhg.2023.03.016,SRSF1 haploinsufficiency NDD syndrome,Genetic syndromes,1.0,107.0,Raw (individual-level) data,54.0,9.0,45.0,Case control,Childhood and adolescence,Peripheral blood,"Multiple (450K, EPICv1)",Not reported,Journal Article,Am J Hum Genet,Association DNAm phenotype | Actual change in methylation | top-ranking 800,Association DNAm phenotype | P-value | top-ranking 800,Association DNAm phenotype | AUC | top-ranking 267,Pruning | Pairwise correlation | < 0.60-0.80,,Machine learning | Support vector machine,Train/test split: 75/25% | 10-fold cross-validation,No,Not reported,No,No,Cell type
J. M. Tieskens; P. A. C. van Lier; J. M. Buil; E. D. Barker,2023.0,Sensation-seeking-related DNA methylation and the development of delinquency: A longitudinal epigenome-wide study,1469-2198,Sensation-seeking,Lifestyle and environment,3.0,20.0,Raw (individual-level) data,905.0,,,Population-based,"['Adolescence', 'Birth', 'Mid childhood']","['Peripheral blood', 'Cord blood']",450K,European,Journal Article,Dev Psychopathol,Association DNAm phenotype | P-value | p < 5e-5,,,,,Discovery EWAS | Linear regression,No,No,"['Reported | Correlation | r = .18', 'Reported | Correlation | r = .08']",No,Not reported,"Substance abuse, antisocial activities, cell type, age, seks"
A. J. deSteiguer; L. Raffington; A. Sabhlok; P. Tanksley; E. M. Tucker-Drob; K. P. Harden,2025.0,Stability of Aging- and Cognition-Related Methylation Profile Scores Across Two Waves in Children and Adolescents,,Cognitive functioning,Neuro-psychiatric health indicators,1.0,764525.0,Pre-established MPS,407.0,,,Twin study,Late childhood,Saliva,EPICv1,Mixed,Journal Article,Child Dev,,,,,,,No,No,Not reported,No,Not reported,"array, slide, batch, cell composition"
S. M. Merrill; C. Hogan; A. K. Bozack; A. Cardenas; J. S. Comer; D. M. Bagner; A. Highlander; J. Parent,2024.0,Telehealth Parenting Program and Salivary Epigenetic Biomarkers in Preschool Children With Developmental Delay: NIMHD Social Epigenomics Program,10.1001/jamanetworkopen.2024.24815 (R,"['C-reactive protein', 'IL6']",Biological markers,2.0,"[np.float64(8.0), np.float64(35.0)]",Pre-established MPS,71.0,34.0,37.0,Case control,Early childhood,Saliva,EPICv1,Mixed,Journal Article,JAMA netw open,,,,,,,No,No,Not reported,No,Not reported,"baseline DNAm score, child demographics,  symptom severity, buccal epithelial cell proportion"
Z. E. Reed; M. J. Suderman; C. L. Relton; O. S. P. Davis; G. Hemani,2020.0,The association of DNA methylation with body mass index: distinguishing between predictors and biomarkers,10.1186/s13148-020-00841-5,BMI,Physical health indicators,3.0,135.0,Published summary statistics (semi-supervised),906.0,,,Population-based,"['Adolescence', 'Birth', 'Mid childhood']","['Peripheral blood', 'Cord blood']",450K,European,Journal Article,Clin Epigenetics,Association DNAm phenotype | P-value | ?,,,,,Discovery EWAS | Linear mixed model,No,No,"['Reported | Explained variance | R2=3%, p = 3.91E−11', 'Reported | Explained variance | R2=2%, p = 6.83E−05', 'Reported | Explained variance | R2=1%, p = 2.23E−04']",No,Not reported,"['age (except at birth), sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).', 'sex (where applicable), sample type (where applicable) and cell type proportions (B cell, CD4T, CD8T, Gran, Mono and NK).']"
N. Vos; S. Haghshenas; L. van der Laan; P. K. M. Russel; K. Rooney; M. A. Levy; R. Relator; J. Kerkhof; H. McConkey; S. M. Maas; L. Vissers; B. B. A. de Vries; R. Pfundt; M. W. Elting; J. M. van Hagen; N. E. Verbeek; M. C. J. Jongmans; P. Lakeman; L. Rumping; D. G. M. Bosch; A. Vitobello; C. Thauvin-Robinet; L. Faivre; S. Nambot; A. Garde; M. Willems; D. Genevieve; G. Nicolas; T. Busa; A. Toutain; M. Gerard; V. Bizaoui; B. Isidor; G. Merla; M. Accadia; C. E. Schwartz; K. Ounap; M. J. V. Hoffer; M. M. Nezarati; M. H. van den Boogaard; M. L. Tedder; C. Rogers; A. Brusco; G. B. Ferrero; M. Spodenkiewicz; R. Sidlow; A. Mussa; S. Trajkova; E. McCann; H. J. Mroczkowski; S. Jansen; L. Donker-Kaat; F. A. M. Duijkers; K. E. Stuurman; M. Mannens; M. Alders; P. Henneman; S. M. White; B. Sadikovic; M. M. van Haelst,2024.0,"The detection of a strong episignature for Chung-Jansen syndrome, partially overlapping with Borjeson-Forssman-Lehmann and White-Kernohan syndromes",10.1007/s00439-024-02679-w,"['Chung-Jansen syndrome', 'Combined Chung-Jansen, Börjeson–Forssman–Lehmann and White–Kernohan syndromes']",Genetic syndromes,2.0,"[np.float64(212.0), np.float64(213.0)]",Raw (individual-level) data,"[np.float64(79.0), np.float64(93.0)]","[np.float64(26.0), np.float64(31.0)]","[np.float64(53.0), np.float64(62.0)]",Case control,Childhood and adolescence,Whole blood,EPICv1,Not reported,Journal Article,Hum Genet,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | top-ranking 500,Pruning | Pairwise correlation | < 0.70,,Machine learning | Support vector machine,4-fold cross-validation,Yes (unclear how many),Not reported,No,Not reported,Cell type
L. Schreyer; J. Reilly; H. McConkey; J. Kerkhof; M. A. Levy; J. Hu; M. Hnaini; B. Sadikovic; C. Campbell,2023.0,The discovery of the DNA methylation episignature for Duchenne muscular dystrophy,10.1016/j.nmd.2022.12.003,Duchenne Muscular Dystrophy (DMD),Genetic syndromes,1.0,158.0,Raw (individual-level) data,93.0,31.0,62.0,Case control,Childhood and adolescence,Peripheral blood,EPICv1,Not reported,Journal Article,Neuromuscular Disord,Association DNAm phenotype | Actual change in methylation | top-ranking 1000,Association DNAm phenotype | P-value | top-ranking 1000,Association DNAm phenotype | AUC | > .80,Pruning | Pairwise correlation | < 0.80,Association DNAm phenotype | Actual change in methylation | > 5%,Machine learning | Support vector machine,"Train/test split: 75/25% | 10-fold cross-validation, leave-one-out cross-validation","Yes (n~1,800)","Reported | specificity 99%, sensitivity 86%",No,Not reported,Cell type
A. J. M. Dingemans; K. M. G. Truijen; S. van de Ven; R. Bernier; E. M. H. F. Bongers; A. Bouman; L. de Graaff - Herder; E. E. Eichler; E. H. Gerkes; C. M. De Geus; J. M. van Hagen; P. R. Jansen; J. Kerkhof; A. J. A. Kievit; T. Kleefstra; S. M. Maas; S. A. de Man; H. McConkey; W. G. Patterson; A. T. Dobson; E. J. Prijoles; B. Sadikovic; R. Relator; R. E. Stevenson; C. T. R. M. Stumpel; M. Heijligers; K. E. Stuurman; K. Löhner; S. Zeidler; J. A. Lee; A. Lindy; F. Zou; M. L. Tedder; L. E. L. M. Vissers; B. B. A. de Vries,2022.0,The phenotypic spectrum and genotype-phenotype correlations in 106 patients with variants in major autism gene CHD8,10.1038/s41398-022-02189-1,AUTS18 syndrome / Intellectual developmental disorder with autism and macrocephaly (IDDAM),Genetic syndromes,1.0,,Pre-established MPS,13.0,,,Cohort study,Childhood and adolescence,Not reported,EPICv1,Not reported,Journal Article,Transl Psychiatry,,,,,,,No,No,Not reported,No,No,No
O. Lopez-Nunez; B. Cafferata; M. Santi; S. Ranganathan; T. M. Pearce; S. M. Kulich; K. M. Bailey; A. Broniscer; S. Rossi; A. Zin; M. P. Nasrallah; M. M. Li; Y. Zhong; E. Miele; R. Alaggio; L. F. Surrey,2021.0,The spectrum of rare central nervous system (CNS) tumors with EWSR1-non-ETS fusions: experience from three pediatric institutions with review of the literature,10.1111/bpa.12900,Brain tumour,Cancer,1.0,,Pre-established MPS,5.0,,,Cohort study,Childhood and adolescence,Tumour cells,EPICv1,Not reported,Journal Article,Brain Pathol,,,,,,,No,No,Not assessed,No,Not reported,Not reported
